#tag	cores	nPar	nSteps	t1	t	colliderRel
ompTuneSort1_10k_0	6	8000	1000	0.140613	0.00392030	0.357911
ompTuneSort1_10k_0	6	8000	1000	0.141323	0.00392600	0.360457
ompTuneSort1_10k_0	6	8000	1000	0.140111	0.00386493	0.363068
ompTuneSort1_10k_0	6	15625	1000	0.353245	0.00941090	0.393351
ompTuneSort1_10k_0	6	15625	1000	0.347626	0.00930590	0.395016
ompTuneSort1_10k_0	6	15625	1000	0.351046	0.00928610	0.392890
ompTuneSort1_10k_0	6	27000	1000	0.802684	0.01856793	0.427024
ompTuneSort1_10k_0	6	27000	1000	0.800536	0.01865251	0.430080
ompTuneSort1_10k_0	6	64000	1000	2.762929	0.05463715	0.482488
ompTuneSort1_10k_0	6	125000	1000	7.966158	0.12105556	0.486455
ompTuneSort1_1k_5k	6	1000	1000	0.013632	0.00031705	0.329113
ompTuneSort1_1k_5k	6	1000	1000	0.012266	0.00031635	0.328833
ompTuneSort1_1k_5k	6	1000	1000	0.015633	0.00034530	0.314464
ompTuneSort1_1k_5k	6	1000	1000	0.019806	0.00031504	0.325503
ompTuneSort1_1k_5k	6	1000	1000	0.015259	0.00032654	0.323792
ompTuneSort1_1k_5k	6	8000	1000	0.145289	0.00403964	0.357847
ompTuneSort1_1k_5k	6	8000	1000	0.144588	0.00401314	0.360730
ompTuneSort1_1k_5k	6	8000	1000	0.142562	0.00395713	0.358883
ompTuneSort1_1k_5k	6	8000	1000	0.143643	0.00398517	0.358171
ompTuneSort1_1k_5k	6	8000	1000	0.151339	0.00398067	0.353692
ompTuneSort1_1k_5k	6	15625	1000	0.365024	0.00943245	0.393133
ompTuneSort1_1k_5k	6	15625	1000	0.350616	0.00939844	0.395058
ompTuneSort1_1k_5k	6	15625	1000	0.352320	0.00943125	0.394869
ompTuneSort1_1k_5k	6	27000	1000	0.796144	0.02153426	0.401127
ompTuneSort1_1k_5k	6	125000	1000	8.000732	0.12244630	0.507060
ompTuneSort1_1k_5k	6	64000	1000	2.754589	0.05410184	0.481684
ompTuneSort1_1k_5k	6	125000	1000	8.213304	0.11929192	0.496267
r3519	1	1000	1000	0.012188	0.00094620	0.126935
r3519	1	1000	1000	0.012231	0.00095866	0.127049
r3519	1	1000	1000	0.012629	0.00094948	0.126914
r3519	1	1000	1000	0.012157	0.00095203	0.126534
r3519	1	1000	1000	0.012179	0.00094816	0.126756
r3519	1	8000	1000	0.178841	0.01483434	0.214391
r3519	1	8000	1000	0.179645	0.01476253	0.213556
r3519	1	8000	1000	0.179839	0.01474146	0.213699
r3519	1	8000	1000	0.180019	0.01474710	0.213799
r3519	1	8000	1000	0.179904	0.01475144	0.213485
r3519	1	15625	1000	0.455683	0.03481783	0.253835
r3519	1	15625	1000	0.456021	0.03485655	0.254047
r3519	1	15625	1000	0.520135	0.03508759	0.252886
r3519	1	27000	1000	1.004060	0.07148150	0.290057
r3519	1	27000	1000	1.041938	0.07100382	0.287235
r3519	1	64000	1000	3.544847	0.20394879	0.328457
r3519	1	125000	1000	9.892112	0.46126911	0.355461
r3519	1	216000	1000	23.424359	0.85459403	0.383092
r3519	2	1000	1000	0.011338	0.00060355	0.212035
r3519	2	1000	1000	0.011316	0.00060051	0.211610
r3519	2	1000	1000	0.011350	0.00059757	0.214460
r3519	2	1000	1000	0.011581	0.00059816	0.213092
r3519	2	1000	1000	0.011627	0.00059845	0.211678
r3519	2	8000	1000	0.169713	0.00947204	0.331757
r3519	2	8000	1000	0.169710	0.00950376	0.332215
r3519	2	8000	1000	0.170413	0.00941396	0.331501
r3519	2	8000	1000	0.177446	0.00949267	0.330149
r3519	2	8000	1000	0.170351	0.00943028	0.331101
r3519	2	15625	1000	0.454911	0.02232583	0.379572
r3519	2	15625	1000	0.439346	0.02228829	0.378369
r3519	2	15625	1000	0.455287	0.02245231	0.381674
r3519	2	27000	1000	0.941081	0.04676007	0.426166
r3519	2	27000	1000	0.943254	0.04563189	0.414326
r3519	2	64000	1000	3.493668	0.14322309	0.473902
r3519	2	125000	1000	9.730660	0.32239464	0.504154
r3519	2	216000	1000	23.141850	0.61557356	0.534519
r3519	4	1000	1000	0.014504	0.00041491	0.314833
r3519	4	1000	1000	0.014758	0.00040688	0.320955
r3519	4	1000	1000	0.014056	0.00039946	0.317531
r3519	4	1000	1000	0.010924	0.00040987	0.312434
r3519	4	1000	1000	0.013607	0.00039963	0.319559
r3519	4	8000	1000	0.170394	0.00661258	0.471579
r3519	4	8000	1000	0.166793	0.00662417	0.476209
r3519	4	8000	1000	0.184101	0.00660752	0.474866
r3519	4	8000	1000	0.172205	0.00659220	0.471963
r3519	4	8000	1000	0.167768	0.00656652	0.473012
r3519	4	15625	1000	0.433565	0.01639898	0.520977
r3519	4	15625	1000	0.430956	0.01634943	0.519484
r3519	4	15625	1000	0.431004	0.01648899	0.522714
r3519	4	27000	1000	0.930655	0.03581856	0.570526
r3519	4	27000	1000	0.932634	0.03597400	0.573344
r3519	4	64000	1000	3.432994	0.11368696	0.618523
r3519	4	125000	1000	9.675509	0.25288064	0.648669
r3519	4	216000	1000	23.103720	0.49162027	0.676731
r3519	6	1000	1000	0.012615	0.00034633	0.388094
r3519	6	1000	1000	0.014299	0.00034570	0.389521
r3519	6	1000	1000	0.015166	0.00035533	0.375153
r3519	6	1000	1000	0.016113	0.00034693	0.381842
r3519	6	1000	1000	0.016011	0.00035615	0.381554
r3519	6	8000	1000	0.172154	0.00574244	0.554057
r3519	6	8000	1000	0.170238	0.00571297	0.547244
r3519	6	8000	1000	0.171865	0.00573142	0.550672
r3519	6	8000	1000	0.173328	0.00567680	0.549372
r3519	6	8000	1000	0.169382	0.00567593	0.548950
r3519	6	15625	1000	0.437224	0.01439031	0.599782
r3519	6	15625	1000	0.429420	0.01446933	0.592490
r3519	6	15625	1000	0.432968	0.01426821	0.592996
r3519	6	27000	1000	1.017160	0.03110989	0.643599
r3519	6	27000	1000	0.959267	0.03144925	0.648682
r3519	6	64000	1000	3.445221	0.10018020	0.688209
r3519	6	125000	1000	9.993792	0.22959237	0.717795
r3519	6	216000	1000	23.024227	0.44870629	0.737259
r3530	1	1000	1000	0.011016	0.00094163	0.120828
r3530	1	1000	1000	0.010976	0.00094015	0.120893
r3530	1	1000	1000	0.010925	0.00094915	0.118383
r3530	1	1000	1000	0.010937	0.00094097	0.119422
r3530	1	1000	1000	0.010979	0.00094397	0.119185
r3530	1	8000	1000	0.148510	0.01430737	0.211347
r3530	1	8000	1000	0.148731	0.01431163	0.211182
r3530	1	8000	1000	0.148288	0.01426988	0.211481
r3530	1	8000	1000	0.150817	0.01461502	0.211279
r3530	1	8000	1000	0.149734	0.01447410	0.211037
r3530	1	15625	1000	0.366519	0.03368616	0.245491
r3530	1	15625	1000	0.365535	0.03377383	0.244672
r3530	1	15625	1000	0.365113	0.03368029	0.245503
r3530	1	27000	1000	0.750668	0.06769072	0.274732
r3530	1	27000	1000	0.752105	0.06802927	0.273778
r3530	1	64000	1000	2.630761	0.19722861	0.329037
r3530	1	125000	1000	7.614575	0.43625483	0.352012
r3530	1	216000	1000	16.880208	0.82797528	0.379337
r3530	2	1000	1000	0.009959	0.00055770	0.160548
r3530	2	1000	1000	0.009897	0.00055668	0.161059
r3530	2	1000	1000	0.009898	0.00056124	0.159276
r3530	2	1000	1000	0.009894	0.00055265	0.161444
r3530	2	1000	1000	0.010013	0.00056213	0.159218
r3530	2	8000	1000	0.140099	0.00815753	0.253044
r3530	2	8000	1000	0.140469	0.00814538	0.254448
r3530	2	8000	1000	0.140699	0.00818336	0.254906
r3530	2	8000	1000	0.142288	0.00821768	0.252339
r3530	2	8000	1000	0.140157	0.00817629	0.254467
r3530	2	15625	1000	0.341043	0.01919611	0.291829
r3530	2	15625	1000	0.341059	0.01909592	0.288785
r3530	2	15625	1000	0.342631	0.01897864	0.288707
r3530	2	27000	1000	0.735514	0.03834834	0.321561
r3530	2	27000	1000	0.721522	0.03855351	0.326046
r3530	2	64000	1000	2.657154	0.11465912	0.363772
r3530	2	125000	1000	7.182237	0.25270827	0.387598
r3530	2	216000	1000	17.013714	0.47857901	0.418607
r3530	4	1000	1000	0.012973	0.00036463	0.243402
r3530	4	1000	1000	0.012711	0.00037880	0.238741
r3530	4	1000	1000	0.012687	0.00037615	0.239311
r3530	4	1000	1000	0.012562	0.00037229	0.241484
r3530	4	1000	1000	0.009597	0.00036905	0.242811
r3530	4	8000	1000	0.138984	0.00500948	0.312085
r3530	4	8000	1000	0.136892	0.00503118	0.310812
r3530	4	8000	1000	0.137430	0.00502279	0.314575
r3530	4	8000	1000	0.139623	0.00503049	0.312110
r3530	4	8000	1000	0.139595	0.00505353	0.309716
r3530	4	15625	1000	0.334461	0.01196900	0.338535
r3530	4	15625	1000	0.335210	0.01189461	0.335410
r3530	4	15625	1000	0.337068	0.01187700	0.337517
r3530	4	27000	1000	0.728161	0.02396786	0.368335
r3530	4	27000	1000	0.718665	0.02375580	0.367607
r3530	4	64000	1000	2.803796	0.06935570	0.415006
r3530	4	125000	1000	7.482868	0.15347288	0.438416
r3530	4	216000	1000	17.047240	0.28359890	0.456252
r3530	6	1000	1000	0.014611	0.00031518	0.303566
r3530	6	1000	1000	0.014186	0.00032439	0.304375
r3530	6	1000	1000	0.012756	0.00031878	0.303066
r3530	6	1000	1000	0.012330	0.00032610	0.297971
r3530	6	1000	1000	0.013058	0.00032095	0.301920
